# capacities: continuous 640000 N, highLoad 1280000 N, emergency 4480000 N. band: 0 Continuous 1 Performance 2 Extreme 3 Emergency 4 Saturated
sample,time_s,band,appliedCmdAvg,rawDemandAvg,requiredLoadN,dynamicLoadN,contReserveN,highReserveN,emergReserveN,curvReqMs2,curvAppliedMs2,curvClamped,availAccelMs2,accelReserveMs2,normalRate_degs,adhesionAccelMs2,adhesionForceN,adhesionLimited,airStability01,aeroN,grounded
214,2.141,0,0.000,0.000,2467,2467,637533,1277533,4477534,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,2467,1
216,2.161,0,0.000,0.000,2602,2602,637398,1277398,4477398,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,2602,1
218,2.181,0,0.000,0.000,2742,2742,637258,1277258,4477258,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,2742,1
220,2.201,0,0.000,0.000,2884,2884,637117,1277117,4477117,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,2884,1
222,2.221,0,0.000,0.000,3029,3029,636971,1276971,4476971,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,3029,1
224,2.241,0,0.000,0.000,3178,3178,636822,1276822,4476822,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,3178,1
226,2.261,0,0.000,0.000,3331,3331,636670,1276670,4476670,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,3331,1
228,2.281,0,0.000,0.000,3488,3488,636512,1276512,4476512,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,3488,1
230,2.301,0,0.000,0.000,3648,3648,636352,1276352,4476352,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,3648,1
232,2.321,0,0.000,0.000,3813,3813,636187,1276187,4476187,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,3813,1
234,2.341,0,0.000,0.000,3981,3981,636019,1276019,4476019,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,3981,1
236,2.361,0,0.000,0.000,4149,4149,635851,1275851,4475852,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,4149,1
238,2.381,0,0.000,0.000,4324,4324,635676,1275676,4475676,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,4324,1
240,2.401,0,0.000,0.000,4502,4502,635498,1275498,4475498,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,4502,1
242,2.421,0,0.000,0.000,4682,4682,635318,1275318,4475318,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,4682,1
244,2.441,0,0.000,0.000,4866,4866,635134,1275134,4475134,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,4866,1
246,2.461,0,0.000,0.000,5054,5054,634946,1274946,4474946,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,5054,1
248,2.481,0,0.000,0.000,5246,5246,634754,1274754,4474754,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,5246,1
250,2.501,0,0.000,0.000,5442,5442,634558,1274558,4474558,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,5442,1
252,2.521,0,0.000,0.000,5642,5642,634358,1274358,4474358,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,5642,1
254,2.541,0,0.000,0.000,5844,5844,634156,1274156,4474156,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,5844,1
256,2.561,0,0.000,0.000,6050,6050,633950,1273951,4473951,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,6050,1
258,2.581,0,0.000,0.000,6260,6260,633740,1273740,4473741,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,6260,1
260,2.601,0,0.000,0.000,6472,6472,633528,1273528,4473528,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,6472,1
262,2.621,0,0.000,0.000,6686,6686,633314,1273314,4473314,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,6686,1
264,2.641,0,0.000,0.000,6906,6906,633095,1273095,4473095,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,6906,1
266,2.661,0,0.000,0.000,7127,7127,632873,1272873,4472873,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,7127,1
268,2.681,0,0.000,0.000,7351,7351,632649,1272649,4472650,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,7351,1
270,2.701,0,0.000,0.000,7580,7580,632420,1272420,4472420,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,7580,1
272,2.721,0,0.000,0.000,7812,7812,632188,1272188,4472188,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,7812,1
274,2.741,0,0.000,0.000,8049,8049,631951,1271951,4471952,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,8049,1
276,2.761,0,0.000,0.000,8287,8287,631713,1271713,4471713,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,8287,1
278,2.781,0,0.000,0.000,8528,8528,631472,1271472,4471472,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,8528,1
280,2.801,0,0.000,0.000,8774,8774,631226,1271226,4471226,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,8774,1
282,2.821,0,0.000,0.000,9021,9021,630979,1270979,4470979,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,9021,1
284,2.841,0,0.000,0.000,9271,9271,630729,1270729,4470729,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,9271,1
286,2.861,0,0.000,0.000,9530,9530,630470,1270470,4470470,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,9530,1
288,2.881,0,0.000,0.000,9791,9791,630209,1270209,4470209,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,9791,1
290,2.901,0,0.000,0.000,10052,10052,629948,1269948,4469948,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,10052,1
292,2.921,0,0.000,0.000,10317,10317,629683,1269683,4469683,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,10317,1
294,2.941,0,0.000,0.000,10584,10584,629416,1269416,4469416,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,10584,1
296,2.961,0,0.000,0.000,10852,10852,629148,1269148,4469149,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,10852,1
298,2.981,0,0.000,0.000,11126,11126,628874,1268874,4468874,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,11126,1
300,3.001,0,0.000,0.000,11404,11404,628596,1268596,4468596,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,11404,1
302,3.021,0,0.000,0.000,11685,11685,628315,1268315,4468316,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,11685,1
304,3.041,0,0.000,0.000,11971,11971,628029,1268029,4468029,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,11971,1
306,3.061,0,0.000,0.000,12258,12258,627742,1267742,4467742,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,12258,1
308,3.081,0,0.000,0.000,12549,12549,627451,1267451,4467451,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,12549,1
